distance_km,prep_time_min,traffic_level,rain,delivery_min
9.4,17,1,0,51.3
5.55,24,2,1,54.2
10.37,28,3,0,67.7
8.52,23,2,0,51.2
1.58,29,2,1,42.1
11.72,25,3,0,68.4
9.25,27,2,0,57.0
9.54,8,3,0,57.7
1.97,23,2,0,36.1
5.68,16,1,0,39.2
4.76,19,2,0,40.7
11.16,21,1,0,58.0
7.9,29,3,0,64.4
9.96,30,2,0,64.7
5.6,12,2,1,46.4
3.11,23,2,0,38.5
6.88,24,2,0,50.5
1.23,14,1,1,25.1
10.02,8,1,0,41.5
7.76,6,2,0,41.7
9.22,24,1,0,54.5
4.58,17,3,0,40.6
11.66,30,1,1,71.3
10.77,17,3,1,68.7
9.45,29,2,0,57.2
2.74,15,2,0,30.4
5.87,25,1,0,45.7
1.0,7,2,0,23.0
2.27,19,3,0,35.1
8.36,25,1,0,52.8
9.06,28,1,0,59.0
11.63,26,2,0,69.3
4.25,6,1,0,27.0
4.76,14,1,0,32.9
5.9,6,2,0,35.0
2.68,8,2,0,29.1
1.99,22,2,1,40.9
5.97,23,3,0,53.6
3.11,24,3,1,49.7
8.2,27,1,0,55.2
5.53,23,2,1,52.2
10.08,25,1,0,59.7
8.55,6,1,0,42.8
4.09,11,1,0,28.0
10.07,21,2,0,54.7
9.75,26,3,0,69.6
4.96,5,3,0,37.9
3.82,18,2,1,39.2
8.35,22,3,0,57.0
2.11,6,1,0,22.6
2.8,15,3,0,36.3
0.58,27,3,0,36.7
9.55,22,1,0,57.6
8.15,11,2,0,44.2
8.61,26,3,0,60.2
9.48,14,2,1,58.9
5.78,26,3,1,59.9
7.04,12,3,0,49.5
2.11,20,2,0,36.2
1.82,15,1,1,31.6
8.19,12,2,1,54.3
5.92,27,1,0,45.5
7.0,10,2,1,48.3
9.3,7,2,1,53.5
7.8,14,2,1,53.7
6.87,23,1,0,48.4
6.93,25,1,0,49.3
4.0,30,3,0,50.6
0.85,12,1,0,18.6
5.52,15,1,0,37.2
2.97,8,3,0,32.9
5.2,19,1,0,39.2
10.31,30,2,0,71.4
3.19,23,1,1,39.2
1.17,20,1,0,27.9
3.74,15,2,0,38.4
3.88,28,2,1,50.4
8.11,17,1,1,57.7
6.91,8,1,1,41.4
9.51,14,1,1,55.1
8.14,7,2,1,47.7
5.17,10,3,0,40.2
9.86,5,1,0,44.6
2.42,16,1,0,30.2
0.76,21,2,0,31.2
1.54,14,2,1,36.9
8.81,16,1,0,47.7
5.81,29,1,0,46.2
2.35,24,2,0,44.0
6.26,19,2,0,47.1
2.25,12,2,0,27.4
8.51,27,1,0,52.4
5.63,11,3,1,46.3
4.88,13,2,0,40.3
3.97,28,2,1,49.5
7.75,18,1,0,46.2
4.66,24,3,0,48.5
1.51,20,3,0,38.1
1.86,21,1,1,33.0
11.56,12,3,0,59.5
10.95,11,3,1,65.8
8.55,13,1,0,46.7
3.56,9,3,0,36.3
11.65,27,1,1,67.3
9.46,12,1,0,49.0
8.74,19,1,0,47.8
5.67,25,2,1,52.4
3.63,25,2,0,39.5
1.61,16,2,0,33.0
10.88,17,1,0,56.6
5.74,30,1,0,49.0
2.83,22,3,1,50.3
4.02,25,3,1,59.8
7.16,28,3,0,54.7
2.53,25,1,1,37.9
10.35,10,3,0,55.6
9.22,19,3,0,57.4
8.77,8,2,0,44.1
5.47,21,1,1,45.6
7.71,29,3,0,58.3
7.22,18,2,0,49.3
7.97,16,1,0,45.4
1.47,6,1,1,25.4
5.28,29,2,0,50.9
0.98,8,1,0,19.9
6.18,6,1,0,32.3
4.29,11,2,0,40.2
2.16,7,3,0,30.4
1.69,16,1,0,21.2
7.26,18,2,0,46.1
2.46,13,3,0,30.3
11.14,6,3,1,62.6
7.18,8,3,0,45.8
4.49,15,1,0,32.7
7.3,7,3,1,56.3
0.76,22,3,0,36.6
11.52,10,1,0,54.2
6.05,13,2,1,44.8
9.5,15,2,0,51.1
1.45,15,2,0,28.7
6.1,5,1,1,38.3
6.14,8,3,0,38.2
11.29,27,3,0,70.7
7.07,5,2,0,39.6
5.95,18,3,0,48.2
3.57,17,2,0,34.5
4.31,13,3,0,39.1
6.49,16,2,1,50.0
5.55,25,2,1,53.6
0.75,26,1,1,36.4
10.0,12,2,0,55.9
10.81,13,1,0,51.4
2.11,11,1,0,22.8
6.87,17,1,0,43.6
1.75,22,3,1,45.4
8.23,11,1,0,41.8
3.73,13,3,0,40.6
8.08,28,3,1,69.8
8.86,6,1,0,44.8
9.34,17,2,0,58.8
1.74,23,2,0,32.6
11.03,9,2,0,54.5
3.15,6,3,1,37.8
0.93,8,2,0,22.2
6.88,28,2,1,57.8
4.77,5,2,1,34.2
10.04,10,3,1,62.0
9.79,6,2,0,46.7
4.15,8,2,0,32.7
11.46,21,3,1,71.3
3.85,11,3,0,34.9
6.42,19,3,0,51.4
3.44,20,3,1,48.1
11.26,26,2,0,67.7
2.39,5,3,1,40.2
1.02,26,1,1,36.5
5.5,20,1,0,41.5
11.91,9,2,0,54.5
10.75,24,3,1,69.8
9.11,26,2,0,63.5
10.74,11,2,0,52.5
10.77,28,2,1,68.9
6.47,16,1,0,40.6
4.13,20,2,0,40.0
9.38,30,2,0,60.7
8.11,14,2,0,47.9
4.8,25,2,0,48.6
1.59,13,1,0,21.6
9.09,25,3,0,59.5
3.52,20,2,0,40.7
11.27,10,1,1,58.4
3.27,15,2,1,38.2
1.91,13,2,0,24.8
10.06,7,1,0,44.1
2.26,6,1,0,21.0
2.56,14,1,0,30.2
7.39,5,2,0,38.0
10.56,9,3,1,62.5
2.76,23,3,1,49.3
4.07,23,2,0,36.0
9.44,23,3,1,70.9
11.68,13,1,1,57.4
6.26,27,3,0,56.4
2.15,20,2,0,34.7
0.66,8,3,0,28.6
3.14,9,3,1,41.1
2.02,22,2,0,29.0
8.29,9,1,0,39.8
1.9,18,2,1,37.8
6.32,30,3,0,57.2
8.48,5,3,1,54.8
7.18,5,3,0,46.1
2.8,30,1,1,45.4
9.75,20,2,1,62.6
8.73,8,1,0,37.8
9.0,27,3,1,68.4
2.01,27,3,0,43.4
1.92,18,1,0,25.1
11.17,21,2,0,64.3
5.07,12,3,1,49.9
3.96,6,3,0,35.1
6.12,20,2,0,38.7
8.12,12,1,0,40.0
11.49,22,3,0,73.2
3.79,26,3,0,45.9
11.14,5,2,0,47.2
0.79,20,3,0,37.1
6.88,11,1,1,44.2
7.79,27,2,0,58.9
1.72,11,1,0,23.4
2.11,20,3,1,44.8
5.32,19,3,0,48.3
11.61,15,3,0,66.1
7.35,22,2,0,57.2
11.23,23,1,1,67.9
9.75,19,1,0,48.8
5.87,24,2,1,54.8
9.52,30,3,0,70.5
0.71,15,1,0,25.2
1.76,18,3,1,40.2
10.04,5,1,0,47.5
9.66,25,2,0,62.9
3.18,18,1,0,38.2
6.6,15,2,1,48.2
7.47,7,2,0,40.8
10.48,27,1,0,59.5
7.44,15,2,0,46.0
5.24,22,3,0,46.9
4.8,9,3,0,32.4
5.4,29,1,0,44.7
8.0,9,3,0,50.2
10.48,10,3,0,56.4
5.72,26,3,1,63.6
3.35,28,2,1,48.5
3.22,10,3,0,38.3
9.08,17,2,0,54.3
9.89,23,1,0,57.9
1.71,27,1,1,39.2
1.27,14,3,1,40.6
7.34,18,1,1,50.3
2.18,24,2,0,38.0
9.98,23,3,0,65.4
4.07,25,1,0,38.3
2.15,19,2,0,34.4
11.09,8,1,0,55.4
2.4,28,2,0,39.4
3.77,27,1,1,46.0
2.27,25,3,0,45.0
1.83,7,1,0,23.3
0.74,10,3,1,32.9
1.14,24,3,0,31.8
2.51,6,3,1,37.1
1.11,29,3,0,35.3
